Date,Order #,Total Order Amount,Customer ID,Customer Name,Address,State,Zip Code,Email,Phone,SKU,Price,Size,Quantity,Sales Total,Product Category,Product Line
5/22/2021,SXF-7309-1727-1334,,fb502a41-b04c-41bd-b258-05fb744b32e8,Evelyn Lobe,99986 Mendota Avenue,Texas,75507,elobe0@phoca.cz,(903) 1387937,NYW2F6CPBY,,,,,,
3/23/2020,DG7-5410-5845-1340,,5ad7af1d-ca67-4a98-b835-4201f2153b3e,Benedikta Bampforth,000 Knutson Point,District of Columbia,20404,bbampforth1@wikispaces.com,(202) 1242264,GZCJZ3ET04,,,,,,
5/16/2021,SZA-5970-0614-1888,,bd760883-cd4d-47ea-b63b-bc3014bfeaf3,Meaghan Beric,2 Bluejay Alley,Florida,33028,mberic2@phoca.cz,(954) 6188211,6K4AUUS730,,,,,,
9/21/2019,ENT-5271-0660-4850,,32ed4ca3-b083-4f8d-b044-b2915221f4bd,Benjy Cappineer,8 Hintze Way,Georgia,31165,bcappineer3@jiathis.com,(404) 5789045,OWFPW3WZHG,,,,,,
1/5/2020,14C-6286-0019-4676,,8f7f6476-f7a3-4d1b-ac3b-2868cc7f9b1f,Jilli Foyster,58 Kensington Point,Texas,75221,jfoyster4@ning.com,(972) 3429897,O5FYJLBE0H,,,,,,
5/14/2020,VQE-2656-9729-6194,,4d3c9b86-8d21-4b3c-bf02-b44cbc88ea47,Wandis Merveille,39892 Johnson Junction,Alabama,36195,wmerveille5@dmoz.org,(334) 2063347,ORGRBTIKZR,,,,,,
9/12/2020,9K8-5765-4461-7159,,932898bf-987d-4595-90d7-3152d1dd33a7,Darrin Albury,27 Dovetail Circle,Ohio,44905,dalbury6@qq.com,(419) 9152047,KDTMPSBZKZ,,,,,,
6/30/2021,TCS-6223-7628-2720,,5271f338-57be-4329-aa85-cd116f9e344f,Jenny Dabinett,9808 Maryland Plaza,California,92505,jdabinett7@fema.gov,(909) 8455364,I2GQUNYDXW,,,,,,
11/2/2020,SO3-3756-2138-1970,,6e6fc582-8c43-47a7-b513-f1959a811080,Shermie Windebank,566 Butterfield Street,Maryland,20910,swindebank8@storify.com,(301) 1809681,DJWE1V9LZK,,,,,,
5/30/2021,STO-8043-9269-9300,,86c5daa3-b2c4-4d45-9217-17d41286d313,Lammond Teulier,36 Kinsman Pass,District of Columbia,20599,lteulier9@google.de,(202) 5904016,GABWVMEL2R,,,,,,
9/14/2019,G7Y-9331-8313-2949,,368ad229-08a5-42fe-97e8-c2d4fdfdc3ca,Dennison Tyers,8 Independence Circle,California,94147,dtyersa@amazon.co.uk,(415) 8015114,CG3531YP08,,,,,,
12/15/2019,C66-4061-6799-2417,,e19df8df-0429-4133-8936-d469f7d1dac3,Germana Buxsey,8798 Steensland Way,California,91406,gbuxseyb@alexa.com,(310) 1077654,IZBHF5KR79,,,,,,
12/2/2019,HF5-4362-3368-4934,,48bfe160-46fb-4750-867d-8aca40b9274e,Milo Edscer,72601 Bartillon Parkway,Georgia,31119,medscerc@livejournal.com,(770) 4157311,3HDX5H4WTM,,,,,,
5/27/2021,R3O-6541-4569-5974,,d4b2373a-8ad2-4f07-a0b6-170d92423c4e,Barbara Dace,84047 Darwin Circle,Indiana,47805,bdaced@opensource.org,(812) 7213787,M291KHJ4LW,,,,,,
6/22/2021,P5I-9996-9590-9562,,e1e1058e-d5a3-4f32-b8f6-8cdaff220244,Aloysia Crosser,4 Golden Leaf Parkway,North Carolina,27404,acrossere@va.gov,(336) 3404043,28LQOI0LSK,,,,,,
1/27/2020,9FH-9267-0099-0140,,e4aad31c-e475-4085-8812-f73e8e044ad4,Wilone Dible,14 Crowley Avenue,Colorado,81015,wdiblef@irs.gov,(719) 6223993,RKAPY3I1TP,,,,,,
10/9/2019,4AA-7350-1027-5527,,dda26501-052c-490a-80ce-fdbddb5ec6bf,Sampson Service,8 Buhler Lane,Texas,76544,sserviceg@sphinn.com,(254) 2214941,A8SU9C4GLF,,,,,,
8/24/2021,HMP-2151-3946-4248,,87ee7aef-76a5-45c9-957c-99c427a008fa,Tanhya Paterno,73 Kinsman Court,Florida,33620,tpaternoh@mysql.com,(813) 4613395,058G0P7V60,,,,,,
12/27/2019,79H-3431-3268-7134,,c8c83e27-7cfc-4a34-a68f-1a3c8f3b27fe,Ewart Gullivent,4187 Vera Avenue,Maryland,21275,egulliventi@etsy.com,(410) 5406497,W86BRJ9SSG,,,,,,
